Year,Elections,Date 1,Date 2,Index,Source
2024,French Senate election,30 Jun 2024,7 Jul 2024,FRFIN,Yahoo
2023,Spanish general election,23 Jul 2023,,IBEXIB,Investing
2023,Dutch general election,22 Nov 2023,,NLFIN,Investing
2023,Polish parliamentary election,15 Oct 2023,,BNKI,Investing
2023,Greek legislative election,21 May 2023,25 Jun 2023,FTATBNK,Investing
2023,Finnish parliamentary election,02 Apr 2023,,N3020PI,Investing
2023,Italian local elections,14 Apr 2023,,FTITLMS30,Investing
2023,Spanish regional elections,28 May 2023,,IBEXIB,Investing
2022,United States elections,8 Nov 2022,,NYK,Investing
2022,French presidential election,10 Apr 2022,24 Apr 2022,FRFIN,Yahoo
2022,French legislative election,12 Jun 2022,19 Jun 2022,FRFIN,Yahoo
2022,Swedish general election,11 Sep 2022,,SX3010GI,Yahoo
2022,Italian general election,25 Sep 2022,,FTITLMS30,Investing
2021,German federal election,26 Sep 2021,,CXPVX,Investing
2021,Canadian federal election,20 Sep 2021,,TRGSPTS40,Investing
2021,Norwegian parliamentary election,13 Sep 2021,,OFING,Investing
2021,Dutch general election,17 Mar 2021,,NLFIN,Investing
2020,United States presidential election,3 Nov 2020,,NYK,Investing
2019_1,Spanish general election,28 Apr 2019,,IBEXIB,Investing
2019_2,Spanish general election,10 Nov 2019,,IBEXIB,Investing
2019,Portuguese legislative election,6 Oct 2019,,PTFIN,Investing
2019,Greek legislative election,7 Jul 2019,,FTATBNK,Investing
2019,Belgian federal election,26 May 2019,,BEFIN,Investing
2019,Danish general election,5 Jun 2019,,OMXC20,Investing
2019,Finnish parliamentary election,14 Apr 2019,,N3020PI,Investing
2018,Swedish general election,9 Sep 2018,,SX3010GI,Yahoo
2018,Italian general election,4 Mar 2018,,FTITLMS30,Investing
2017,German federal election,24 Sep 2017,,CXPVX,Investing
2017,French presidential election,23 Apr 2017,7 May 2017,FRFIN,Yahoo
2017,French legislative election,11 Jun 2017,18 Jun 2017,FRFIN,Yahoo
2017,United Kingdom general election,8 Jun 2017,,TRINMX302020,Investing
2017,Dutch general election,15 Mar 2017,,NLFIN,Investing
2016,United States presidential election,8 Nov 2016,,NYK,Investing
2016,Spanish general election,26 Jun 2016,,IBEXIB,Investing
2016,United Kingdom Brexit,23 June 2016,,TRINMX302020,Investing
2015,Portuguese legislative election,4 Oct 2015,,PTFIN,Investing
2015,Spanish general election,20 Dec 2015,,IBEXIB,Investing
2015,United Kingdom general election,7 May 2015,,TRINMX302020,Investing
2015,Canadian federal election,19 Oct 2015,,TRGSPTS40,Investing
2014,Swedish general election,14 Sep 2014,,SX3010GI,Yahoo
2014,Belgian federal election,25 May 2014,,BEFIN,Investing
2013,German federal election,22 Sep 2013,,CXPVX,Investing
2013,Italian general election,,25 Feb 2013,FTITLMS30,Investing
2013,Norwegian parliamentary election,8 Sep 2013,9 Sep 2013,OFING,Investing
2012,Greek General election,17 Jun 2012,,FTATBNK,Investing
