,Spread
2024_French Senate election_FRFIN,-0.49285973617330203
2023_Spanish general election_IBEXIB,0.43175965665236116
2023_Dutch general election_NLFIN,-0.09934004862799631
2023_Polish parliamentary election_BNKI,-0.1037769541511578
2023_Greek legislative election_FTATBNK,0.14189406099518456
2023_Finnish parliamentary election_N3020PI,-0.44529869921310417
2023_Italian local elections_FTITLMS30,-0.2227106528080196
2023_Spanish regional elections_IBEXIB,-0.1882435269419173
2022_United States elections_NYK,0.009682479580245484
2022_French presidential election_FRFIN,-0.27802821469109784
2022_French legislative election_FRFIN,-0.06257763975155295
2022_Swedish general election_SX3010GI,-0.08733483725427049
2022_Italian general election_FTITLMS30,0.2336785648233766
2021_German federal election_CXPVX,-0.2190332326283989
2021_Norwegian parliamentary election_OFING,0.060660289001873924
2021_Dutch general election_NLFIN,0.40566225825746016
2020_United States presidential election_NYK,0.05043094602914022
2019_1_Spanish general election_IBEXIB,0.36712913553895377
2019_2_Spanish general election_IBEXIB,0.10736196319018404
2019_Portuguese legislative election_PTFIN,-0.200524246395806
2019_Greek legislative election_FTATBNK,0.48610522258624006
2019_Belgian federal election_BEFIN,-0.049103729504714866
2019_Danish general election_OMXC20,-0.1248183859463749
2019_Finnish parliamentary election_N3020PI,0.5372303940248471
2018_Swedish general election_SX3010GI,0.5165547024952017
2018_Italian general election_FTITLMS30,0.0
2017_German federal election_CXPVX,0.20591828942344417
2017_French presidential election_FRFIN,-0.012400354295837301
2017_French legislative election_FRFIN,0.23813817980022156
2017_United Kingdom general election_TRINMX302020,0.44651863957846094
2017_Dutch general election_NLFIN,0.11915269196822653
2016_United States presidential election_NYK,0.026974765541912
2016_Spanish general election_IBEXIB,-0.3192441571357537
2016_United Kingdom Brexit_TRINMX302020,-0.17579179204020218
2015_Portuguese legislative election_PTFIN,-0.3843866171003716
2015_Spanish general election_IBEXIB,-0.18533529845246888
2015_United Kingdom general election_TRINMX302020,0.4202569626096323
2014_Swedish general election_SX3010GI,-0.0065497165619735065
2014_Belgian federal election_BEFIN,-0.20734506503442812
2013_German federal election_CXPVX,0.10068165791741679
2013_Norwegian parliamentary election_OFING,0.02380054670562709
2012_Greek General election_FTATBNK,-0.4495889402429547
